"nameWithOwner","stars__totalCount","createdAt","contributors","metrics__metric","metrics__value","metrics__bestValue"
"google/flexbox-layout","14516","2016-05-04T08:11:22Z","24","sqale_rating","1.0","True"
"","","","","comment_lines_density","19.9","False"
"","","","","complexity","1811",""
"","","","","code_smells","317","False"
"","","","","files","158",""
"","","","","comment_lines","4082",""
"","","","","lines","23865",""
"","","","","functions","909",""
"","","","","violations","326","False"
"","","","","ncloc","16408",""
"","","","","ncloc_language_distribution","java=5164;kotlin=8511;xml=2733",""
"","","","","statements","7827",""
"googlesamples/android-architecture-components","14488","2017-05-09T21:09:14Z","45","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=4060;kotlin=9028;xml=4832",""
"","","","","comment_lines","6372",""
"","","","","violations","182","False"
"","","","","statements","3806",""
"","","","","ncloc","17920",""
"","","","","comment_lines_density","26.2","False"
"","","","","functions","958",""
"","","","","code_smells","172","False"
"","","","","lines","28961",""
"","","","","files","442",""
"","","","","complexity","1305",""
"android/plaid","13805","2015-10-30T16:10:56Z","61","files","161",""
"","","","","functions","202",""
"","","","","complexity","356",""
"","","","","ncloc_language_distribution","java=588;kotlin=3056;xml=2033",""
"","","","","ncloc","5677",""
"","","","","lines","9656",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","47","False"
"","","","","statements","1064",""
"","","","","code_smells","40","False"
"","","","","comment_lines","2436",""
"","","","","comment_lines_density","30.0","False"
"googlesamples/android-UniversalMusicPlayer","11109","2015-03-10T00:04:35Z","20","ncloc_language_distribution","java=24;kotlin=3067;xml=870",""
"","","","","violations","14","False"
"","","","","comment_lines_density","31.4","False"
"","","","","statements","724",""
"","","","","complexity","255",""
"","","","","comment_lines","1812",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","124",""
"","","","","code_smells","14","False"
"","","","","ncloc","3961",""
"","","","","lines","5836",""
"","","","","files","68",""
"mikepenz/MaterialDrawer","10591","2015-01-31T17:37:10Z","93","lines","15991",""
"","","","","files","164",""
"","","","","comment_lines_density","20.6","False"
"","","","","code_smells","47","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","12882",""
"","","","","functions","665",""
"","","","","complexity","1257",""
"","","","","violations","47","False"
"","","","","statements","2960",""
"","","","","ncloc_language_distribution","kotlin=9981;xml=2901",""
"","","","","comment_lines","3335",""
"JakeWharton/RxBinding","9051","2015-03-24T04:17:24Z","37","complexity","860",""
"","","","","statements","2470",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","10229",""
"","","","","code_smells","69","False"
"","","","","functions","542",""
"","","","","comment_lines","959",""
"","","","","violations","71","False"
"","","","","ncloc_language_distribution","java=3297;kotlin=4753;xml=145",""
"","","","","ncloc","8195",""
"","","","","files","189",""
"","","","","comment_lines_density","10.5","False"
"AppIntro/AppIntro","8745","2015-06-03T16:02:10Z","70","ncloc","5833",""
"","","","","functions","227",""
"","","","","ncloc_language_distribution","css=443;java=1167;kotlin=1989;web=976;xml=1258",""
"","","","","complexity","441",""
"","","","","statements","1105",""
"","","","","comment_lines_density","12.0","False"
"","","","","code_smells","147","False"
"","","","","files","139",""
"","","","","violations","158","False"
"","","","","comment_lines","796",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","7130",""
"googlesamples/android-sunflower","8466","2018-05-23T03:02:28Z","26","sqale_rating","1.0","True"
"","","","","ncloc","2477",""
"","","","","ncloc_language_distribution","kotlin=1396;xml=1081",""
"","","","","complexity","129",""
"","","","","files","92",""
"","","","","violations","8","False"
"","","","","code_smells","8","False"
"","","","","comment_lines","1454",""
"","","","","lines","4460",""
"","","","","functions","101",""
"","","","","comment_lines_density","37.0","False"
"","","","","statements","317",""
"KotlinBy/awesome-kotlin","7724","2015-08-17T23:29:55Z","203","comment_lines_density","1.9","False"
"","","","","statements","460",""
"","","","","files","53",""
"","","","","comment_lines","47",""
"","","","","lines","2929",""
"","","","","ncloc","2479",""
"","","","","ncloc_language_distribution","css=268;js=95;kotlin=1529;ts=416;web=155;xml=16",""
"","","","","code_smells","12","False"
"","","","","violations","12","False"
"","","","","functions","126",""
"","","","","sqale_rating","1.0","True"
"","","","","complexity","178",""
"JakeWharton/timber","7352","2013-07-18T06:23:33Z","39","ncloc_language_distribution","java=873;kotlin=1748;xml=57",""
"","","","","complexity","411",""
"","","","","statements","809",""
"","","","","comment_lines_density","5.2","False"
"","","","","functions","192",""
"","","","","files","14",""
"","","","","violations","29","False"
"","","","","sqale_rating","1.0","True"
"","","","","lines","3052",""
"","","","","ncloc","2678",""
"","","","","comment_lines","147",""
"","","","","code_smells","29","False"
"square/okio","6557","2014-03-17T00:02:59Z","43","lines","28490",""
"","","","","files","157",""
"","","","","code_smells","610","False"
"","","","","functions","1977",""
"","","","","comment_lines_density","19.0","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","20947",""
"","","","","violations","627","False"
"","","","","statements","10057",""
"","","","","comment_lines","4899",""
"","","","","complexity","2909",""
"","","","","ncloc_language_distribution","css=42;java=7420;kotlin=13485",""
"JetBrains/kotlin-native","6124","2016-05-16T18:40:45Z","100","comment_lines_density","9.3","False"
"","","","","violations","1188","False"
"","","","","files","442",""
"","","","","complexity","7718",""
"","","","","code_smells","1181","False"
"","","","","ncloc","47875",""
"","","","","comment_lines","4881",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=1;js=68;kotlin=47806",""
"","","","","functions","3260",""
"","","","","lines","62070",""
"","","","","statements","17724",""
"Kotlin/kotlinx.coroutines","5911","2016-06-22T13:49:21Z","123","statements","28183",""
"","","","","code_smells","424","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","444","False"
"","","","","comment_lines_density","19.8","False"
"","","","","ncloc","63713",""
"","","","","complexity","7225",""
"","","","","ncloc_language_distribution","css=321;java=661;js=61;kotlin=62202;web=39;xml=429",""
"","","","","comment_lines","15771",""
"","","","","files","829",""
"","","","","functions","4385",""
"","","","","lines","79072",""
"ReactiveX/RxKotlin","5855","2014-08-19T03:45:59Z","45","functions","212",""
"","","","","lines","3245",""
"","","","","ncloc","2718",""
"","","","","code_smells","44","False"
"","","","","sqale_rating","1.0","True"
"","","","","violations","44","False"
"","","","","ncloc_language_distribution","kotlin=2718",""
"","","","","statements","867",""
"","","","","files","24",""
"","","","","comment_lines","265",""
"","","","","comment_lines_density","8.9","False"
"","","","","complexity","222",""
"ktorio/ktor","5641","2015-08-03T16:49:36Z","90","lines","11066",""
"","","","","functions","369",""
"","","","","comment_lines","2052",""
"","","","","violations","69","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","js=24;kotlin=8364;xml=262",""
"","","","","complexity","743",""
"","","","","comment_lines_density","19.2","False"
"","","","","files","161",""
"","","","","statements","2473",""
"","","","","code_smells","58","False"
"","","","","ncloc","8650",""
"googlesamples/android-topeka","5082","2015-05-08T09:59:55Z","18","functions","371",""
"","","","","ncloc","8548",""
"","","","","files","245",""
"","","","","lines","13692",""
"","","","","comment_lines_density","31.8","False"
"","","","","complexity","558",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","59","False"
"","","","","statements","1264",""
"","","","","violations","61","False"
"","","","","ncloc_language_distribution","kotlin=4614;xml=3934",""
"","","","","comment_lines","3982",""
"sourcerer-io/sourcerer-app","4826","2017-07-07T09:53:22Z","19","lines","105782",""
"","","","","complexity","11297",""
"","","","","ncloc","51058",""
"","","","","statements","22353",""
"","","","","files","239",""
"","","","","functions","3306",""
"","","","","comment_lines_density","16.8","False"
"","","","","comment_lines","10298",""
"","","","","violations","1222","False"
"","","","","code_smells","1115","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","css=6263;flex=39;go=1473;java=2952;js=20120;kotlin=9452;php=3905;py=964;ruby=2399;ts=1748;web=283;xml=1460",""
"agrosner/DBFlow","4674","2014-09-17T20:21:02Z","53","sqale_rating","1.0","True"
"","","","","ncloc","22866",""
"","","","","statements","6344",""
"","","","","comment_lines","5157",""
"","","","","ncloc_language_distribution","java=162;kotlin=22609;xml=95",""
"","","","","functions","1583",""
"","","","","files","334",""
"","","","","comment_lines_density","18.4","False"
"","","","","code_smells","112","False"
"","","","","complexity","2668",""
"","","","","lines","27768",""
"","","","","violations","112","False"
"Tapadoo/Alerter","4514","2017-02-03T16:50:47Z","19","ncloc","2768",""
"","","","","ncloc_language_distribution","java=210;kotlin=1582;xml=976",""
"","","","","statements","498",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","21.6","False"
"","","","","files","53",""
"","","","","comment_lines","764",""
"","","","","violations","8","False"
"","","","","complexity","210",""
"","","","","lines","3509",""
"","","","","functions","153",""
"","","","","code_smells","8","False"
"inorichi/tachiyomi","4505","2015-10-07T09:51:12Z","55","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=198;kotlin=32732;xml=20507",""
"","","","","functions","2243",""
"","","","","comment_lines_density","12.2","False"
"","","","","statements","10291",""
"","","","","complexity","4033",""
"","","","","ncloc","53437",""
"","","","","comment_lines","7407",""
"","","","","violations","142","False"
"","","","","files","688",""
"","","","","lines","62213",""
"","","","","code_smells","142","False"
"mikepenz/Android-Iconics","4371","2014-11-01T19:43:56Z","31","sqale_rating","1.0","True"
"","","","","files","80",""
"","","","","comment_lines","1295",""
"","","","","ncloc","10073",""
"","","","","statements","427",""
"","","","","violations","8","False"
"","","","","comment_lines_density","11.4","False"
"","","","","lines","11988",""
"","","","","ncloc_language_distribution","css=47;go=26;js=16;kotlin=8778;xml=1206",""
"","","","","complexity","143",""
"","","","","code_smells","8","False"
"","","","","functions","105",""
"drakeet/MultiType","4365","2016-08-03T12:55:32Z","8","violations","12","False"
"","","","","ncloc","3205",""
"","","","","comment_lines","2057",""
"","","","","lines","5544",""
"","","","","complexity","224",""
"","","","","statements","613",""
"","","","","functions","171",""
"","","","","ncloc_language_distribution","kotlin=2530;xml=675",""
"","","","","files","103",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","39.1","False"
"","","","","code_smells","12","False"
"InsertKoinIO/koin","4226","2017-06-06T12:21:06Z","50","statements","5208",""
"","","","","ncloc","12631",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","16.7","False"
"","","","","code_smells","263","False"
"","","","","complexity","633",""
"","","","","lines","15758",""
"","","","","files","284",""
"","","","","ncloc_language_distribution","css=461;java=85;kotlin=10941;xml=1144",""
"","","","","functions","487",""
"","","","","comment_lines","2538",""
"","","","","violations","264","False"
"diogobernardino/WilliamChart","4181","2014-08-03T09:47:45Z","1","files","62",""
"","","","","code_smells","11","False"
"","","","","comment_lines","90",""
"","","","","complexity","136",""
"","","","","ncloc_language_distribution","kotlin=1959;xml=488",""
"","","","","ncloc","2447",""
"","","","","statements","497",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","2941",""
"","","","","comment_lines_density","3.5","False"
"","","","","violations","11","False"
"","","","","functions","80",""
"romannurik/muzei","3929","2014-02-06T23:39:33Z","24","lines","3394",""
"","","","","functions","105",""
"","","","","ncloc","2558",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","817",""
"","","","","complexity","276",""
"","","","","ncloc_language_distribution","kotlin=2445;xml=113",""
"","","","","comment_lines_density","19.5","False"
"","","","","violations","15","False"
"","","","","files","32",""
"","","","","code_smells","15","False"
"","","","","comment_lines","619",""
"ssseasonnn/RxDownload","3716","2016-10-28T04:13:42Z","5","comment_lines","65",""
"","","","","comment_lines_density","1.9","False"
"","","","","functions","175",""
"","","","","statements","798",""
"","","","","lines","4140",""
"","","","","ncloc","3401",""
"","","","","ncloc_language_distribution","java=63;kotlin=2699;xml=639",""
"","","","","sqale_rating","1.0","True"
"","","","","files","100",""
"","","","","complexity","306",""
"","","","","code_smells","23","False"
"","","","","violations","23","False"
"YiiGuxing/TranslationPlugin","3651","2016-06-01T08:39:51Z","1","ncloc_language_distribution","java=2507;kotlin=9155;xml=358",""
"","","","","ncloc","12020",""
"","","","","functions","799",""
"","","","","comment_lines_density","8.8","False"
"","","","","lines","14453",""
"","","","","comment_lines","1156",""
"","","","","statements","4160",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","82","False"
"","","","","code_smells","53","False"
"","","","","complexity","1618",""
"","","","","files","124",""
"Yalantis/Context-Menu.Android","3586","2015-01-13T11:09:41Z","8","ncloc","1286",""
"","","","","code_smells","3","False"
"","","","","complexity","136",""
"","","","","violations","3","False"
"","","","","ncloc_language_distribution","kotlin=1105;xml=181",""
"","","","","comment_lines_density","5.6","False"
"","","","","files","26",""
"","","","","functions","60",""
"","","","","comment_lines","76",""
"","","","","statements","413",""
"","","","","lines","1534",""
"","","","","sqale_rating","1.0","True"
"RedApparat/Fotoapparat","3411","2017-03-23T20:59:37Z","27","complexity","640",""
"","","","","functions","492",""
"","","","","comment_lines","1852",""
"","","","","violations","192","False"
"","","","","files","190",""
"","","","","comment_lines_density","18.8","False"
"","","","","lines","10218",""
"","","","","code_smells","192","False"
"","","","","ncloc","7991",""
"","","","","statements","1605",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=530;kotlin=7195;xml=266",""
"enbandari/Kotlin-Tutorials","3324","2016-10-09T15:59:04Z","2","ncloc_language_distribution","java=235;kotlin=778;xml=82",""
"","","","","complexity","118",""
"","","","","violations","35","False"
"","","","","functions","92",""
"","","","","lines","1463",""
"","","","","ncloc","1095",""
"","","","","statements","231",""
"","","","","comment_lines","208",""
"","","","","files","91",""
"","","","","code_smells","34","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","16.0","False"
"tipsy/javalin","3289","2017-04-02T20:01:28Z","69","complexity","1699",""
"","","","","code_smells","746","False"
"","","","","comment_lines","1446",""
"","","","","files","225",""
"","","","","lines","17177",""
"","","","","ncloc_language_distribution","css=3;java=1964;js=2;kotlin=10631;web=37;xml=405",""
"","","","","statements","5451",""
"","","","","functions","1191",""
"","","","","ncloc","13042",""
"","","","","sqale_rating","1.0","True"
"","","","","violations","770","False"
"","","","","comment_lines_density","10.0","False"
"airbnb/MvRx","3218","2018-07-02T22:11:45Z","23","ncloc_language_distribution","java=20;kotlin=7183;xml=1890",""
"","","","","complexity","749",""
"","","","","files","219",""
"","","","","functions","541",""
"","","","","comment_lines","1123",""
"","","","","code_smells","39","False"
"","","","","ncloc","9093",""
"","","","","comment_lines_density","11.0","False"
"","","","","violations","39","False"
"","","","","lines","10842",""
"","","","","sqale_rating","1.0","True"
"","","","","statements","2334",""
"dbacinski/Design-Patterns-In-Kotlin","3203","2016-09-26T20:47:03Z","13","ncloc","622",""
"","","","","ncloc_language_distribution","kotlin=622",""
"","","","","files","17",""
"","","","","lines","865",""
"","","","","violations","18","False"
"","","","","code_smells","17","False"
"","","","","functions","77",""
"","","","","comment_lines","23",""
"","","","","comment_lines_density","3.6","False"
"","","","","sqale_rating","1.0","True"
"","","","","statements","227",""
"","","","","complexity","88",""
"kittinunf/fuel","3022","2015-06-04T04:03:33Z","62","files","136",""
"","","","","comment_lines_density","15.2","False"
"","","","","ncloc_language_distribution","kotlin=14242;xml=111",""
"","","","","functions","885",""
"","","","","code_smells","105","False"
"","","","","violations","106","False"
"","","","","comment_lines","2571",""
"","","","","lines","17450",""
"","","","","complexity","1127",""
"","","","","ncloc","14353",""
"","","","","statements","4907",""
"","","","","sqale_rating","1.0","True"
"corda/corda","3003","2016-10-06T08:46:29Z","143","ncloc_language_distribution","css=1073;java=7478;js=475;kotlin=159851;py=1882;web=539;xml=9032",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","218384",""
"","","","","code_smells","3731","False"
"","","","","ncloc","180330",""
"","","","","violations","3858","False"
"","","","","statements","61655",""
"","","","","functions","10888",""
"","","","","comment_lines","27452",""
"","","","","files","1709",""
"","","","","complexity","16972",""
"","","","","comment_lines_density","13.2","False"
"JetBrains/Exposed","2994","2013-07-30T12:55:27Z","65","files","106",""
"","","","","functions","1094",""
"","","","","comment_lines","510",""
"","","","","complexity","1841",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","139","False"
"","","","","comment_lines_density","3.9","False"
"","","","","statements","6184",""
"","","","","ncloc_language_distribution","kotlin=12704",""
"","","","","violations","141","False"
"","","","","ncloc","12704",""
"","","","","lines","15508",""
"izhangzhihao/intellij-rainbow-brackets","2983","2017-10-04T01:51:17Z","8","lines","3620",""
"","","","","ncloc_language_distribution","kotlin=2509;xml=646",""
"","","","","comment_lines_density","1.0","False"
"","","","","comment_lines","31",""
"","","","","code_smells","11","False"
"","","","","complexity","279",""
"","","","","ncloc","3155",""
"","","","","statements","791",""
"","","","","violations","11","False"
"","","","","files","45",""
"","","","","functions","133",""
"","","","","sqale_rating","1.0","True"
"arrow-kt/arrow","2924","2017-03-24T10:43:11Z","136","lines","81070",""
"","","","","code_smells","2003","False"
"","","","","statements","16660",""
"","","","","ncloc_language_distribution","css=7219;java=127;js=1748;kotlin=56454;scala=266;web=540;xml=15",""
"","","","","comment_lines_density","16.1","False"
"","","","","violations","2037","False"
"","","","","functions","3497",""
"","","","","sqale_rating","1.0","True"
"","","","","files","899",""
"","","","","ncloc","66369",""
"","","","","comment_lines","12714",""
"","","","","complexity","5582",""
"bufferapp/android-clean-architecture-boilerplate","2911","2017-08-09T16:54:03Z","9","files","102",""
"","","","","comment_lines_density","13.1","False"
"","","","","comment_lines","419",""
"","","","","lines","3517",""
"","","","","code_smells","9","False"
"","","","","sqale_rating","1.0","True"
"","","","","functions","234",""
"","","","","complexity","250",""
"","","","","statements","534",""
"","","","","ncloc","2778",""
"","","","","violations","9","False"
"","","","","ncloc_language_distribution","kotlin=2552;xml=226",""
"Triple-T/gradle-play-publisher","2791","2014-08-07T11:28:01Z","32","ncloc_language_distribution","kotlin=3301;web=10;xml=3",""
"","","","","functions","93",""
"","","","","statements","1003",""
"","","","","complexity","218",""
"","","","","comment_lines_density","4.5","False"
"","","","","files","37",""
"","","","","violations","38","False"
"","","","","lines","3892",""
"","","","","comment_lines","157",""
"","","","","code_smells","38","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","3314",""
"cashapp/sqldelight","2765","2015-10-21T13:21:18Z","51","comment_lines","1957",""
"","","","","violations","418","False"
"","","","","code_smells","416","False"
"","","","","complexity","1579",""
"","","","","files","284",""
"","","","","statements","4782",""
"","","","","lines","23282",""
"","","","","comment_lines_density","9.3","False"
"","","","","sqale_rating","1.0","True"
"","","","","ncloc","19020",""
"","","","","ncloc_language_distribution","java=211;kotlin=18569;web=5;xml=235",""
"","","","","functions","1042",""
"vipulasri/Timeline-View","2759","2015-12-15T14:55:04Z","3","lines","2351",""
"","","","","violations","16","False"
"","","","","code_smells","15","False"
"","","","","comment_lines_density","4.7","False"
"","","","","ncloc","1849",""
"","","","","files","49",""
"","","","","statements","424",""
"","","","","comment_lines","92",""
"","","","","functions","95",""
"","","","","sqale_rating","1.0","True"
"","","","","ncloc_language_distribution","java=347;kotlin=733;xml=769",""
"","","","","complexity","149",""
"mikepenz/FastAdapter","2752","2015-12-28T11:05:32Z","38","files","191",""
"","","","","violations","108","False"
"","","","","code_smells","108","False"
"","","","","complexity","1547",""
"","","","","sqale_rating","1.0","True"
"","","","","lines","16623",""
"","","","","ncloc_language_distribution","java=531;kotlin=11695;xml=1323",""
"","","","","comment_lines_density","22.4","False"
"","","","","ncloc","13549",""
"","","","","comment_lines","3918",""
"","","","","statements","3699",""
"","","","","functions","842",""
"git-xuhao/KotlinMvp","2749","2017-11-17T07:26:11Z","2","lines","11270",""
"","","","","violations","107","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","16.6","False"
"","","","","comment_lines","1753",""
"","","","","files","174",""
"","","","","ncloc","8789",""
"","","","","ncloc_language_distribution","java=358;kotlin=6147;xml=2284",""
"","","","","functions","476",""
"","","","","statements","1924",""
"","","","","complexity","778",""
"","","","","code_smells","100","False"
"KeepSafe/dexcount-gradle-plugin","2728","2015-06-04T03:33:17Z","23","files","39",""
"","","","","functions","192",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","61","False"
"","","","","comment_lines","666",""
"","","","","lines","4103",""
"","","","","complexity","437",""
"","","","","comment_lines_density","19.6","False"
"","","","","statements","1124",""
"","","","","ncloc_language_distribution","css=29;java=763;js=184;kotlin=1673;web=19;xml=67",""
"","","","","violations","93","False"
"","","","","ncloc","2735",""
"pinterest/ktlint","2681","2016-07-27T09:03:52Z","45","violations","148","False"
"","","","","lines","13426",""
"","","","","statements","2357",""
"","","","","comment_lines","641",""
"","","","","code_smells","148","False"
"","","","","ncloc","11985",""
"","","","","files","140",""
"","","","","functions","409",""
"","","","","ncloc_language_distribution","kotlin=10605;xml=1380",""
"","","","","complexity","1287",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","5.1","False"
"gradle/kotlin-dsl-samples","2641","2016-04-27T22:16:07Z","26","ncloc_language_distribution","java=103;kotlin=731;web=12;xml=346",""
"","","","","lines","1692",""
"","","","","complexity","76",""
"","","","","violations","31","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","14.1","False"
"","","","","ncloc","1192",""
"","","","","code_smells","31","False"
"","","","","statements","193",""
"","","","","comment_lines","196",""
"","","","","functions","69",""
"","","","","files","62",""
"worker8/TourGuide","2597","2015-04-03T03:38:42Z","15","violations","33","False"
"","","","","ncloc_language_distribution","kotlin=1934;ruby=25;xml=978",""
"","","","","complexity","225",""
"","","","","statements","953",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","9.2","False"
"","","","","ncloc","2937",""
"","","","","files","63",""
"","","","","functions","133",""
"","","","","comment_lines","296",""
"","","","","lines","3543",""
"","","","","code_smells","33","False"
"intellij-rust/intellij-rust","2581","2015-09-16T23:44:57Z","119","violations","6019","False"
"","","","","code_smells","5826","False"
"","","","","functions","10673",""
"","","","","lines","158441",""
"","","","","comment_lines_density","7.5","False"
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines","10620",""
"","","","","statements","29274",""
"","","","","ncloc_language_distribution","java=10;kotlin=126988;py=1029;web=546;xml=1829",""
"","","","","complexity","18138",""
"","","","","ncloc","130402",""
"","","","","files","1444",""
"Kotlin/kotlin-examples","2532","2013-03-18T14:34:06Z","23","lines","4895",""
"","","","","ncloc","3696",""
"","","","","comment_lines","365",""
"","","","","sqale_rating","1.0","True"
"","","","","functions","175",""
"","","","","violations","17","False"
"","","","","code_smells","14","False"
"","","","","ncloc_language_distribution","java=125;js=50;kotlin=1800;web=10;xml=1711",""
"","","","","files","211",""
"","","","","statements","516",""
"","","","","complexity","193",""
"","","","","comment_lines_density","9.0","False"
"edvin/tornadofx","2528","2016-01-06T15:38:14Z","68","statements","10659",""
"","","","","ncloc_language_distribution","css=164;java=82;kotlin=24595;xml=298",""
"","","","","sqale_rating","1.0","True"
"","","","","code_smells","157","False"
"","","","","comment_lines_density","9.5","False"
"","","","","ncloc","25139",""
"","","","","functions","1588",""
"","","","","comment_lines","2632",""
"","","","","lines","30546",""
"","","","","files","158",""
"","","","","complexity","3178",""
"","","","","violations","163","False"
"Kotlin/kotlin-koans","2509","2014-03-20T14:41:33Z","45","code_smells","80","False"
"","","","","ncloc_language_distribution","java=152;kotlin=1863",""
"","","","","comment_lines","230",""
"","","","","lines","2717",""
"","","","","functions","241",""
"","","","","violations","82","False"
"","","","","ncloc","2015",""
"","","","","complexity","286",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","10.2","False"
"","","","","statements","524",""
"","","","","files","108",""
"chrisbanes/tivi","2366","2017-08-17T16:35:58Z","17","statements","3809",""
"","","","","lines","31864",""
"","","","","files","581",""
"","","","","complexity","1723",""
"","","","","comment_lines","8785",""
"","","","","functions","1013",""
"","","","","ncloc","18924",""
"","","","","code_smells","48","False"
"","","","","ncloc_language_distribution","java=351;kotlin=14769;xml=3804",""
"","","","","sqale_rating","1.0","True"
"","","","","comment_lines_density","31.7","False"
"","","","","violations","49","False"
"mikepenz/AboutLibraries","2351","2014-04-22T10:01:06Z","85","ncloc","7879",""
"","","","","violations","34","False"
"","","","","sqale_rating","1.0","True"
"","","","","files","313",""
"","","","","code_smells","30","False"
"","","","","lines","10168",""
"","","","","ncloc_language_distribution","css=457;js=261;kotlin=2455;py=29;web=105;xml=4572",""
"","","","","functions","164",""
"","","","","comment_lines_density","18.6","False"
"","","","","statements","1005",""
"","","","","comment_lines","1798",""
"","","","","complexity","405",""
"antoniolg/Kotlin-for-Android-Developers","2347","2015-07-07T05:57:23Z","1","complexity","87",""
"","","","","lines","1154",""
